objid,RA,DEC,Z,nQ,PROB
6dFg0922366-002432,140.65246,-0.409,0.05424,3.0,0.0
6dFg0922449-002056,140.68725,-0.34889,0.05831,3.0,0.0
6dFg0923157-004341,140.81546,-0.72811,0.01164,3.0,0.0
6dFg0923208-013405,140.83667,-1.56792,0.05463,3.0,0.0
6dFg0923387-015542,140.91112,-1.92831,0.09851,3.0,0.0
G09_Y1_AN2_049,130.31371,0.61342,0.13445,3.0,0.9789999723434448
G09_Y1_AN2_344,129.92108,1.25451,0.26351,3.0,0.9010000228881836
G09_Y1_AS1_007,130.00338,-0.26983,0.08546,3.0,0.9769999980926514
G09_Y1_AS1_060,130.25425,-0.99206,0.20422,3.0,0.9639999866485596
G09_Y1_AS2_356,129.951,-0.03694,0.14449,3.0,0.9670000076293945
G09_Y1_AX1_057,129.9625,2.38365,0.40726,3.0,0.0
G09_Y1_AX2_247,129.25042,2.9902,0.18979,3.0,0.9459999799728394
G09_Y1_BN1_036,131.49979,0.95536,0.07009,3.0,0.9369999766349792
G09_Y1_BN1_043,131.1945,1.02703,8.6E-4,3.0,0.968999981880188
G09_Y1_BN2_364,131.25458,1.45791,0.45356,3.0,0.9729999899864197
G09_Y1_BN2_395,131.46746,1.19884,0.14555,3.0,0.9739999771118164
G09_Y1_BS2_295,130.79342,0.40619,0.07792,3.0,0.9100000262260437
G09_Y1_BX1_019,131.94913,2.36702,0.37428,3.0,0.9070000052452087
G09_Y1_BX1_376,132.25292,2.78768,0.02878,3.0,0.953000009059906
G09_Y1_BX2_002,132.21492,2.51563,0.34462,3.0,0.9620000123977661
G09_Y1_BX2_091,131.72342,2.50269,0.02834,3.0,0.9559999704360962
G09_Y1_CN1_067,132.66296,0.63611,0.37788,3.0,0.9629999995231628
G09_Y1_CN2_113,132.32967,0.99713,0.41345,3.0,0.9570000171661377
G09_Y1_CS1_207,131.96046,-0.21227,1.5E-4,3.0,0.9710000157356262
G09_Y1_CS1_292,132.27817,0.37501,0.38288,3.0,0.9259999990463257
G09_Y1_CS2_174,131.653,-0.57561,0.15427,3.0,0.9330000281333923
G09_Y1_CX1_242,132.70717,2.73426,0.21146,3.0,0.9710000157356262
G09_Y1_CX2_007,134.08554,2.35618,0.25401,3.0,0.9769999980926514
G09_Y1_DN1_061,133.78987,0.98418,0.10811,3.0,0.9679999947547913
G09_Y1_DN1_092,133.81037,0.44844,0.108,3.0,0.9340000152587891
G09_Y1_DN1_129,133.57775,0.94741,0.31394,3.0,0.9679999947547913
G09_Y1_DN1_267,133.34658,1.82951,0.26248,3.0,0.9210000038146973
G09_Y1_DS1_176,133.48258,-0.32054,0.07314,3.0,0.9779999852180481
G09_Y1_DS1_247,133.1915,0.17908,0.32654,3.0,0.9649999737739563
G09_Y1_DS2_136,133.47325,-0.72569,0.34056,3.0,0.9679999947547913
G09_Y1_DS2_242,133.29117,-0.08344,0.16655,3.0,0.9210000038146973
